tm_id,saison,market_value_eur,last_updated,updated_at
93604,2022_2023,2300000,NULL,2022-06-09
93604,2022_2023,2300000,NULL,2022-11-09
93604,2023_2024,3000000,NULL,2023-03-29
93604,2023_2024,2500000,NULL,2023-06-22
93604,2023_2024,2500000,NULL,2023-12-14
93604,2024_2025,2000000,NULL,2024-05-29
93604,2024_2025,2000000,NULL,2024-12-20
93604,2025_2026,1500000,NULL,2025-06-05
93604,2025_2026,1500000,NULL,2025-12-19
93658,2024_2025,150000,NULL,2024-01-08
93658,2024_2025,150000,NULL,2024-06-18
93658,2024_2025,125000,NULL,2024-12-16
93704,2023_2024,2000000,NULL,2023-06-22
93704,2023_2024,1000000,NULL,2023-12-14
93707,2022_2023,12000000,NULL,2022-06-09
93707,2022_2023,10000000,NULL,2022-11-09
93707,2023_2024,7500000,NULL,2023-06-22
93707,2023_2024,6000000,NULL,2023-12-14
93707,2024_2025,5000000,NULL,2024-05-29
93707,2024_2025,4000000,NULL,2024-12-20
93707,2025_2026,3500000,NULL,2025-06-05
93707,2025_2026,2000000,NULL,2025-12-19
93740,2022_2023,10000000,NULL,2022-06-09
93740,2022_2023,10000000,NULL,2022-11-09
93740,2023_2024,10000000,NULL,2023-06-22
93740,2023_2024,10000000,NULL,2023-12-14
93740,2024_2025,10000000,NULL,2024-05-29
93740,2024_2025,10000000,NULL,2024-12-20
93740,2025_2026,8000000,NULL,2025-06-05
93740,2025_2026,6000000,NULL,2025-12-19
93763,2022_2023,3500000,NULL,2022-03-24
93763,2022_2023,3000000,NULL,2022-06-09
93763,2022_2023,1500000,NULL,2022-11-09
93763,2023_2024,900000,NULL,2023-03-29
93763,2023_2024,900000,NULL,2023-06-22
93763,2023_2024,900000,NULL,2023-12-14
93763,2024_2025,700000,NULL,2024-05-29
93763,2024_2025,700000,NULL,2024-12-20
93844,2022_2023,3500000,NULL,2022-03-23
93844,2022_2023,3500000,NULL,2022-06-16
93844,2022_2023,3500000,NULL,2022-11-09
93844,2023_2024,2800000,NULL,2023-06-22
93844,2023_2024,2500000,NULL,2023-12-14
93844,2024_2025,2500000,NULL,2024-05-29
93844,2024_2025,2000000,NULL,2024-12-20
93844,2025_2026,1500000,NULL,2025-06-05
93844,2025_2026,1200000,NULL,2025-12-19
94137,2022_2023,1500000,NULL,2022-06-09
94137,2022_2023,1000000,NULL,2022-11-09
94192,2025_2026,800000,NULL,2025-03-27
94192,2025_2026,500000,NULL,2025-06-05
94192,2025_2026,400000,NULL,2025-12-19
94201,2022_2023,6000000,NULL,2022-03-24
94201,2022_2023,5000000,NULL,2022-06-09
94201,2022_2023,5000000,NULL,2022-11-09
94201,2023_2024,5000000,NULL,2023-06-22
94201,2023_2024,5000000,NULL,2023-12-14
94771,2022_2023,1200000,NULL,2022-06-09
94771,2022_2023,1000000,NULL,2022-10-27
96167,2024_2025,600000,NULL,2024-03-29
96167,2024_2025,600000,NULL,2024-12-19
96167,2025_2026,500000,NULL,2025-06-19
96167,2025_2026,300000,NULL,2025-10-09
96167,2025_2026,300000,NULL,2025-12-16
99451,2024_2025,300000,NULL,2024-06-06
99451,2024_2025,300000,NULL,2024-12-20
99451,2025_2026,300000,NULL,2025-06-05
99451,2025_2026,300000,NULL,2025-12-19
100986,2022_2023,6500000,NULL,2022-06-09
100986,2022_2023,6500000,NULL,2022-11-09
100986,2023_2024,5000000,NULL,2023-06-22
100986,2023_2024,3000000,NULL,2023-10-18
100986,2023_2024,2500000,NULL,2023-12-14
102226,2022_2023,15000000,NULL,2022-06-09
102226,2022_2023,12000000,NULL,2022-09-21
102226,2022_2023,9000000,NULL,2022-11-09
102226,2023_2024,7000000,NULL,2023-06-23
102226,2023_2024,6000000,NULL,2023-10-23
102226,2023_2024,6000000,NULL,2023-12-19
106270,2022_2023,3500000,NULL,2022-06-09
106270,2022_2023,4000000,NULL,2022-09-21
106270,2022_2023,4000000,NULL,2022-11-09
106270,2023_2024,5000000,NULL,2023-06-22
106270,2023_2024,5000000,NULL,2023-12-14
106270,2024_2025,3500000,NULL,2024-03-27
106270,2024_2025,2500000,NULL,2024-05-29
106270,2024_2025,2000000,NULL,2024-12-19
106270,2025_2026,1700000,NULL,2025-06-19
106270,2025_2026,1500000,NULL,2025-12-19
106405,2022_2023,3500000,NULL,2022-06-09
106405,2022_2023,3500000,NULL,2022-11-09
106405,2023_2024,3000000,NULL,2023-06-22
106405,2023_2024,3000000,NULL,2023-12-14
106405,2024_2025,2000000,NULL,2024-05-29
106405,2024_2025,1500000,NULL,2024-12-20
106405,2025_2026,1500000,NULL,2025-06-05
106405,2025_2026,1000000,NULL,2025-12-19
106872,2024_2025,4000000,NULL,2024-03-27
106872,2024_2025,5000000,NULL,2024-05-29
106872,2024_2025,4500000,NULL,2024-12-20
106872,2025_2026,3500000,NULL,2025-06-05
106872,2025_2026,3000000,NULL,2025-12-19
106987,2022_2023,22000000,NULL,2022-03-24
106987,2022_2023,15000000,NULL,2022-06-09
106987,2022_2023,20000000,NULL,2022-09-21
106987,2022_2023,20000000,NULL,2022-11-09
106987,2023_2024,20000000,NULL,2023-06-20
106987,2023_2024,20000000,NULL,2023-12-14
106987,2024_2025,20000000,NULL,2024-05-29
106987,2024_2025,15000000,NULL,2024-12-20
106987,2025_2026,10000000,NULL,2025-03-27
106987,2025_2026,8000000,NULL,2025-06-05
106987,2025_2026,7000000,NULL,2025-12-19
107219,2023_2024,2000000,NULL,2023-06-28
107219,2023_2024,2000000,NULL,2023-12-14
107219,2024_2025,1500000,NULL,2024-05-29
107219,2024_2025,1500000,NULL,2024-12-19
107574,2022_2023,1500000,NULL,2022-06-16
107574,2022_2023,1500000,NULL,2022-11-30
107574,2023_2024,1500000,NULL,2023-06-28
107574,2023_2024,1500000,NULL,2023-12-15
107574,2024_2025,1000000,NULL,2024-06-06
107574,2024_2025,1000000,NULL,2024-12-19
