tm_id,full_name_tm,date_of_birth,club_name,shirt_number,season,market_value_eur,last_updated
248999,"Lucas Höler",1994-07-10,"SC Freiburg",9,2023/2024,3000000,2026-05-27
342967,"Niklas Beste",1999-01-04,"SC Freiburg",19,2023/2024,10000000,2026-05-27
160954,"Jannik Huth",1994-04-15,"SC Freiburg",24,2023/2024,400000,2026-05-27
668606,"Yuito Suzuki",2001-10-25,"SC Freiburg",14,2023/2024,24000000,2026-05-27
443331,"Patrick Osterhage",2000-02-01,"SC Freiburg",6,2023/2024,12000000,2026-05-27
907082,"Karl Steinmann",2005-12-13,"SC Freiburg",NULL,2023/2024,150000,2026-06-17
190284,"Maximilian Eggestein",1996-12-08,"SC Freiburg",8,2023/2024,10000000,2026-05-27
907087,"Berkay Yılmaz",2005-02-25,"SC Freiburg",27,2023/2024,7000000,2026-06-01
605268,"Igor Matanovic",2003-03-31,"SC Freiburg",31,2023/2024,22000000,2026-05-27
124502,"Matthias Ginter",1994-01-19,"SC Freiburg",28,2023/2024,5000000,2026-05-27
820957,"Derry Scherhant",2002-11-10,"SC Freiburg",7,2023/2024,7500000,2026-05-27
284769,"Florian Müller",1997-11-13,"SC Freiburg",21,2023/2024,1200000,2026-05-27
815078,"Jordy Makengo",2001-08-03,"SC Freiburg",33,2023/2024,6000000,2026-05-27
1145064,"Cyriaque Irié",2005-06-20,"SC Freiburg",22,2023/2024,8000000,2026-05-27
225657,"Philipp Lienhart",1996-07-11,"SC Freiburg",3,2023/2024,10000000,2026-05-27
58995,"Anthony Jung",1991-11-03,"SC Freiburg",5,2023/2024,600000,2026-05-27
185077,"Vincenzo Grifo",1993-04-07,"SC Freiburg",32,2023/2024,4000000,2026-05-27
335993,"Philipp Treu",2000-12-03,"SC Freiburg",29,2023/2024,15000000,2026-05-27
599419,"Max Rosenfelder",2003-02-10,"SC Freiburg",37,2023/2024,6000000,2026-05-27
526845,"Noah Atubolu",2002-05-25,"SC Freiburg",1,2023/2024,25000000,2026-05-27
562948,"Hyun-seok Hong",1999-06-16,"1.FSV Mainz 05",NULL,2023/2024,2500000,2026-06-04
392710,"Lennard Maloney",1999-10-08,"1.FSV Mainz 05",15,2023/2024,2500000,2026-05-27
232454,"Nadiem Amiri",1996-10-27,"1.FSV Mainz 05",10,2023/2024,17000000,2026-05-27
