tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison,age
90317,NULL,"1.FSV Mainz 05",33,DanielBatz,1991-01-12,Torwart,2025_2026,35
91849,NULL,"TSG 1899 Hoffenheim",17,ThomasDelaney,1991-09-03,"Mittelfeld - Zentrales Mittelfeld",2022_2023,34
93604,NULL,"SC Freiburg",17,LukasKübler,1992-08-30,"Abwehr - Rechter Verteidiger",2022_2023,33
93604,NULL,"SC Freiburg",17,LukasKübler,1992-08-30,"Abwehr - Rechter Verteidiger",2023_2024,33
93604,NULL,"SC Freiburg",17,LukasKübler,1992-08-30,"Abwehr - Rechter Verteidiger",2024_2025,33
93604,NULL,"SC Freiburg",17,LukasKübler,1992-08-30,"Abwehr - Rechter Verteidiger",2025_2026,33
93658,NULL,"FC Schalke 04",NULL,TimAlbutat,NULL,"Mittelfeld - Defensives Mittelfeld",2024_2025,NULL
93704,NULL,"1.FSV Mainz 05",23,JosuhaGuilavogui,1990-09-19,"Mittelfeld - Defensives Mittelfeld",2023_2024,35
93707,NULL,"SC Freiburg",30,ChristianGünter,1993-02-28,"Abwehr - Linker Verteidiger",2022_2023,33
93707,NULL,"SC Freiburg",30,ChristianGünter,1993-02-28,"Abwehr - Linker Verteidiger",2023_2024,33
93707,NULL,"SC Freiburg",30,ChristianGünter,1993-02-28,"Abwehr - Linker Verteidiger",2024_2025,33
93707,NULL,"SC Freiburg",30,ChristianGünter,1993-02-28,"Abwehr - Linker Verteidiger",2025_2026,33
93740,NULL,"RB Leipzig",4,WilliOrbán,1992-11-03,"Abwehr - Innenverteidiger",2022_2023,33
93740,NULL,"RB Leipzig",4,WilliOrbán,1992-11-03,"Abwehr - Innenverteidiger",2023_2024,33
93740,NULL,"RB Leipzig",4,WilliOrbán,1992-11-03,"Abwehr - Innenverteidiger",2024_2025,33
93740,NULL,"RB Leipzig",4,WilliOrbán,1992-11-03,"Abwehr - Innenverteidiger",2025_2026,33
93763,NULL,"FC Schalke 04",13,AlexanderSchwolow,1992-06-02,Torwart,2022_2023,34
93763,NULL,"1.FC Union Berlin",37,AlexanderSchwolow,1992-06-02,Torwart,2023_2024,34
93763,NULL,"1.FC Union Berlin",37,AlexanderSchwolow,1992-06-02,Torwart,2024_2025,34
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,1993-12-19,"Mittelfeld - Zentrales Mittelfeld",2022_2023,32
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,1993-12-19,"Mittelfeld - Zentrales Mittelfeld",2023_2024,32
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,1993-12-19,"Mittelfeld - Zentrales Mittelfeld",2024_2025,32
93844,NULL,"SV Werder Bremen",10,LeonardoBittencourt,1993-12-19,"Mittelfeld - Zentrales Mittelfeld",2025_2026,32
94137,NULL,"1.FC Union Berlin",30,KevinMöhwald,1993-07-03,"Mittelfeld - Zentrales Mittelfeld",2022_2023,33
94192,NULL,"Borussia Dortmund",30,PatrickDrewes,1993-02-04,Torwart,2025_2026,33
94201,NULL,"1.FC Union Berlin",31,RobinKnoche,1992-05-22,"Abwehr - Innenverteidiger",2022_2023,34
94201,NULL,"1.FC Union Berlin",31,RobinKnoche,1992-05-22,"Abwehr - Innenverteidiger",2023_2024,34
94771,NULL,"1.FC Union Berlin",NULL,AndreasVoglsammer,1992-01-09,"Sturm - Mittelstürmer",2022_2023,34
96167,NULL,"FC Schalke 04",8,AminYounes,1993-08-06,"Sturm - Linksaußen",2024_2025,32
